91, -341
310, 396
341, 240
258, 664
331, 401
260, 421
60, 696
270, -239
191, 435
94, 596
331, 436
13, -307
65, -15
142, 64
331, -30
176, -425
144, 760
259, 616
341, -290
335, -388
256, -186
287, -226
103, 411
341, 625
236, -275
278, -304
298, 172
160, -327
198, 960
211, 116
363, 570
16, -238
312, 635
343, 437
342, 823
125, 743
44, 547
181, 60
364, -338
21, 629
79, 1010
260, -278
107, 444
158, -173
219, 438
275, 409
112, -92
1, -392
347, 1161
66, -12
177, -466
298, -12
64, -165
260, 744
88, -327
334, 438
32, 425
205, 787
48, -457
167, -390
23, -216
106, -304
116, 210
176, -317
177, 919
286, -397
163, 488
155, -77
71, 304
349, -49
92, 66
349, -462
215, 667
299, 1034
63, 363
330, -378
260, -37
185, 892
119, -214
268, -170
277, -255
284, -135
322, -141
184, 640
162, -156
42, -361
331, 26
143, 588
129, 292
206, 33
200, 9
274, 907
24, 135
197, 399
353, -212
327, 414
191, 498
214, 75
83, 988
275, 699
306, 485
81, -172
196, -348
258, -334
27, 720
328, -81
88, -232
92, 276
33, 361
236, 459
326, 431
67, 25
11, 751
326, 450
33, -281
129, 450
285, 1129
165, 802
130, -63
68, -221
275, -124
122, -394
207, 255
319, -228
145, -421
240, 845
123, 685
329, -53
322, 96
71, 196
240, -427
188, 232
317, 988
220, 154
249, -421
108, 975
38, -446
332, -74
156, 51
38, -4
330, 150
20, 357
306, 294
186, -510
257, -523
311, -14
15, 868
82, 363
173, 859
33, 228
218, 149
120, 845
301, 373
106, 238
98, -487
129, 166
30, -141
199, 892
162, 195
346, 648
247, -330
141, 250
358, -35
262, -273
351, -76
163, 386
119, -125
28, 213
49, 806
125, 486
241, 364
247, 641
46, 413
29, 72
276, -405
240, 217
312, 293
214, 676
200, 672
276, 316
336, 778
304, 625
238, -167
112, -254
90, 552
355, -210
103, 968
229, 281
23, 300
175, 712
105, -221
17, 280
143, -352
306, 955
122, 653
205, 339
32, 890
225, 219
229, 351
80, 329
251, -451
274, 126
198, 424
181, 975
249, 322
166, 754
129, -352
78, 671
335, 680
148, 560
326, 984
322, -301
222, 103
115, 682
185, 878
359, 148
222, 396
179, 568
196, 58
219, -391
69, 945
275, -483
153, 134
248, 828
44, 661
106, 931
119, 610
69, 398
281, 144
335, 446
90, -314
169, 47
51, -379
272, 388
177, 974
219, 125
202, -301
22, 335
180, -201
91, 560
308, 170
336, 766
318, 165
2, 486
251, -15
96, 376
338, 294
251, 631
81, -490
282, -423
219, -412
0, 626
261, 887
317, 159
206, 179
271, -429
1, 201
348, -207
16, 267
103, 718
173, -449
121, 460
121, -334
319, 703
139, 917
129, 549
201, -435
141, 150
167, 983
265, -124
117, -139
53, -94
72, 723
68, 953
158, -382
357, 8
175, -122
202, 429
259, 584
236, -244
332, 163
216, -475
12, 17
149, 6
187, -150
351, 25
333, 591
48, -371
142, 533
302, -61
328, 858
153, 941
352, 376
3, -273
180, 402
317, -324
343, 296
117, 555
274, -93
329, 21
48, -342
273, 533
204, -436
259, 810
45, 487
149, 208
27, -214
123, -428
177, -138
238, 798
346, 10
310, 532
187, 696
357, -255
64, 111
17, 262
171, -441
254, 577
93, 125
116, 3
217, -445
259, 683
32, -334
120, -114
104, 395
233, 519
8, 718
175, 871
275, 877
242, 1168
214, 950
248, -181
52, -474
130, -105
69, 77
52, 638
86, 995
141, 778
265, -388
320, -440
198, 475
227, -470
327, 263
155, -66
184, 47
117, 799
343, 660
52, -267
252, 555
281, 400
354, 525
37, 117
333, 978
208, 615
145, 332
98, 618
87, -106
312, -133
125, 417
245, -305
140, 889
173, 343
312, -65
283, -455
115, 738
176, -441
152, -298
42, 415
141, 431
252, 292
179, 99
36, 152
60, 56
45, 280
11, 578
121, 328
50, -205
247, 413
363, 576
363, 444
42, -92
335, 285
139, 885
330, 843
357, 502
229, -173
156, 396
4, -327
321, -310
305, -372
92, 343
272, 923
153, 939
361, 237
348, -446
238, 881
311, 681
94, -155
48, -230
328, 866
276, 746
308, 182
225, 930
160, 251
322, -209
262, -323
2, -398
196, 526
102, -25
356, 1062
69, -209
277, 393
220, 251
231, -439
160, -432
232, -468
13, 335
152, -143
330, -387
163, 590
323, 318
166, 304
214, 809
243, 574
178, -342
243, -276
80, -77
274, 916
42, 674
85, 588
233, 839
288, 492
288, -91
188, 587
205, 558
112, 724
306, 137
152, 89
273, 61
140, 369
334, 100
13, -380
113, 541
144, -180
31, 559
222, 844
107, -155
90, -168
233, 458
256, 550
333, -465
46, -405
50, 594
152, -42
44, 93
201, 298
337, 963
324, -46
360, -389
283, -377
148, -258
239, 464
237, 1092
150, -279
350, -413
44, -180
272, 851
185, 339
217, 954
189, 868
81, 610
57, 1162
214, 634
235, 769
1, -62
246, 178
97, -481
179, 193
97, 135
8, 14
249, -150
282, -155
247, 833
192, -100
322, 850
45, -22
263, 492
182, 91
178, 81
202, 324
305, 538
221, -473
40, 5
222, 989
87, -392
263, -443
82, 245
238, 852
255, 770
273, 677
114, 371
117, 972
50, -420
342, 999
127, 135
130, 271
32, 792
304, 613
15, 510
22, 647
200, 809
302, 82
86, -380
61, 626
72, 70
37, -225
223, -62
223, 46
151, 852
147, -111
170, -689
115, 878
246, -79
281, 256
201, -82
163, 396
149, -295
53, 635
145, 887
281, -99
343, 837
115, 309
246, -352
41, -354
159, 1024
37, 149
116, 433
81, 931
361, -79
192, 673
361, 186
221, 552
141, 180
25, -565
168, 423
0, -303
178, 844
359, -413
174, 881
268, -172
14, 477
83, -167
162, 977
139, 347
176, 446
149, 880
184, 345
165, -223
139, 836
341, 304
196, 31
236, 352
35, 616
276, 536
180, 123
180, 279
69, 784
222, 939
286, -383
177, 547
217, 95
267, -603
91, 147
103, -277
147, -334
227, 367
221, 385
245, -29
204, 25
88, -175
220, 405
207, -251
359, -387
282, 688
162, 435
280, 966
121, 265
144, 984
115, 467
204, -207
298, 932
273, 899
286, 980
12, 928
28, -75
337, -474
180, 952
11, 308
19, 701
62, 162
268, -248
320, 258
265, 162
86, 194
313, -496
119, 945
313, -368
64, 144
21, 860
81, -470
360, 946
248, 687
211, 918
189, 146
40, 285
162, 469
216, 553
351, -248
209, -481
265, -147
148, -389
310, -302
278, -319
2, -324
8, -364
24, -105
271, -70
67, 79
208, 207
260, -268
311, 390
92, 941
284, 350
